m,corr,a,wtrig,sigmal,gammanull,alpha,r,k,q,n,p,cl,sigma,sigmaw,l_i,u_i,gamma,u_noi,l_noi
0.8,0.2,0.06,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9090298057060741,0.9992166157707956,6.074031868799713,0.9992037870468811,0.9095015048980708
0.8,0.2,0.06,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9054716734420949,0.9992176814314919,6.009611099044591,0.999205144465218,0.905044603347778
0.8,0.2,0.06,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9092218068801208,0.9992106310245402,4.958966204568719,0.9992037870468811,0.9095015048980708
0.8,0.2,0.06,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9052975232802102,0.9992118155547455,4.9010870320425095,0.999205144465218,0.905044603347778
0.8,0.2,0.06,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9093714716493069,0.9992090382364283,5.528351826670244,0.9992037870468811,0.9095015048980708
0.8,0.2,0.06,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.905161561060406,0.9992103118032862,5.490123246174821,0.999205144465218,0.905044603347778
0.8,0.2,0.16,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9140127221979614,0.9999999943824686,2.680393824031055,0.9999999942538041,0.9145141601562506
0.8,0.2,0.16,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9013452514763097,0.9999999944545804,2.6252097595555655,0.9999999943330812,0.9008911132812496
0.8,0.2,0.16,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9142063730025429,0.9999999943251052,2.22222274899342,0.9999999942538041,0.9145141601562506
0.8,0.2,0.16,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9011586559107763,0.9999999944000676,2.1676518469056423,0.9999999943330812,0.9008911132812496
0.8,0.2,0.16,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.91432045608492,0.999999994302469,2.3297463563717464,0.9999999942538041,0.9145141601562506
0.8,0.2,0.16,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9010421781959665,0.9999999943793388,2.289198057907671,0.9999999943330812,0.9008911132812496
0.8,0.2,0.26,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9105365555295978,0.999999999999957,2.0366201334280314,0.9999999999999558,0.9125000000000014
0.8,0.2,0.26,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.8934160968982915,0.9999999999999586,1.6440198745931562,0.9999999999999574,0.8937500000000007
0.8,0.2,0.26,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9060854153716309,0.9999999999999565,1.7760049731691385,0.9999999999999558,0.9125000000000014
0.8,0.2,0.26,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.8947656265195126,0.999999999999958,1.6531505467711507,0.9999999999999574,0.8937500000000007
0.8,0.2,0.26,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9092890360797297,0.9999999999999563,1.9742111084383593,0.9999999999999558,0.9125000000000014
0.8,0.2,0.26,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.8949110433517925,0.9999999999999578,1.7047339991587254,0.9999999999999574,0.8937500000000007
