m,corr,a,wtrig,sigmal,gammanull,alpha,cl,sigma,sigmaw,l_i,u_i,gamma,u_noi,l_noi
0.8,0.2,0.5,0,-1,0,0.25,0.1,1,1,1.5080422457585712,0.3411501598200477,0.8176465198167617,0.32755905911638383,1.5279842316484982
0.8,0.2,0.5,0,-1,0,0.5,0.1,1,1,2.002931966307784,0.3950967785225813,0.7767047583507493,0.38384131967210167,2.0193271931493655
0.8,0.2,0.5,0,-1,0,0.75,0.1,1,1,2.9316434850288324,0.5024811287576736,0.7358580158325141,0.4941782673886825,2.9420470483601098
0.8,0.2,0.5,0,-0.8,0,0.25,0.1,1,1,1.4975717398133175,0.335870419470034,0.8325137410296213,0.32165177262751415,1.5166042558848858
0.8,0.2,0.5,0,-0.8,0,0.5,0.1,1,1,2.0151117259127003,0.3904146534917683,0.7947686560649397,0.3785265534544275,2.0305143296718597
0.8,0.2,0.5,0,-0.8,0,0.75,0.1,1,1,2.948521494755648,0.4997746057644991,0.7566701875650117,0.490939830321238,2.9588208794633726
0.8,0.2,0.5,0,-0.6,0,0.25,0.1,1,1,1.470243486590551,0.32960158525361094,0.8493325838416546,0.3146440171667337,1.4877298399806023
0.8,0.2,0.5,0,-0.6,0,0.5,0.1,1,1,2.018136201538567,0.38397772079511944,0.8159434344670764,0.37130051443078044,2.0319832861423492
0.8,0.2,0.5,0,-0.6,0,0.75,0.1,1,1,2.963680074453342,0.4952750371122346,0.7822319922301605,0.48573752767498013,2.973342092294419
0.8,0.2,0.5,0,-0.3999999999999999,0,0.25,0.1,1,1,1.4143117571151569,0.3224315971890547,0.8676960850418599,0.3066312184205596,1.429069548384509
0.8,0.2,0.5,0,-0.3999999999999999,0,0.5,0.1,1,1,2.0029996569241466,0.37514087667874524,0.8406297111035311,0.3614732765040782,2.014347873685737
0.8,0.2,0.5,0,-0.3999999999999999,0,0.75,0.1,1,1,2.9700217608710644,0.4878655541303381,0.8136756745730952,0.4773793919671364,2.9782126303762197
